year,month,day_of_week,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,hour
2021,may,sunday,serious,3,auto-rickshaw,3,4,clear,village road,wet,daylight,,80,60,male,expired,yes,16
2019,october,wednesday,serious,2,bus,6,1,hazy,urban road,wet,dark,,65,66,male,,yes,11
2019,march,sunday,minor,1,two-wheeler,8,2,stormy,urban road,dry,dusk,,38,68,male,valid,no,3
2022,october,friday,serious,4,cycle,3,3,hazy,village road,dry,dawn,signs,80,47,male,expired,yes,4
2021,september,monday,minor,2,auto-rickshaw,10,2,foggy,urban road,under construction,daylight,signals,60,23,male,valid,yes,15
2023,july,tuesday,fatal,2,auto-rickshaw,6,1,hazy,village road,wet,dawn,signals,103,63,female,,yes,7
2020,february,monday,serious,2,truck,7,0,foggy,state highway,dry,dawn,signals,54,57,male,valid,no,20
2019,september,monday,serious,5,bus,10,1,foggy,urban road,damaged,dawn,signals,48,25,female,valid,yes,3
2018,november,wednesday,fatal,2,bus,4,0,clear,village road,under construction,dark,signs,93,32,male,valid,yes,21
2023,march,thursday,fatal,1,bus,8,3,hazy,national highway,dry,dawn,police checkpost,62,20,male,,yes,1
2020,january,monday,serious,2,pedestrian,4,4,hazy,national highway,dry,dusk,police checkpost,63,63,male,valid,no,2
2022,july,sunday,minor,3,cycle,8,1,clear,urban road,wet,dusk,signs,96,25,female,valid,yes,9
2021,november,saturday,fatal,5,truck,9,1,hazy,national highway,damaged,dusk,signs,59,40,male,,yes,21
2023,october,thursday,fatal,3,bus,2,1,stormy,village road,dry,dawn,police checkpost,40,46,male,,yes,1
2018,february,wednesday,serious,5,cycle,8,5,stormy,national highway,wet,dusk,,30,59,female,,no,18
2023,september,thursday,fatal,3,auto-rickshaw,8,3,foggy,village road,wet,dawn,,51,44,female,valid,no,21
2019,may,sunday,fatal,1,pedestrian,10,2,foggy,national highway,under construction,dark,signs,60,56,male,valid,yes,22
2021,january,friday,serious,2,auto-rickshaw,4,5,rainy,state highway,wet,dusk,signs,94,48,female,expired,yes,7
2018,september,tuesday,fatal,2,truck,5,4,stormy,urban road,under construction,daylight,signs,59,42,male,,no,23
2023,september,monday,minor,1,auto-rickshaw,7,5,clear,national highway,damaged,dusk,,99,53,female,valid,yes,17
2022,september,tuesday,fatal,1,pedestrian,10,4,hazy,state highway,under construction,dark,police checkpost,57,56,female,valid,yes,23
2020,october,tuesday,fatal,5,car,6,4,foggy,urban road,damaged,dark,signs,117,20,male,,no,8
2019,january,tuesday,minor,5,pedestrian,1,3,clear,urban road,dry,daylight,police checkpost,35,30,male,valid,yes,8
2020,september,thursday,serious,2,auto-rickshaw,9,2,stormy,state highway,dry,daylight,,39,43,male,,yes,7
2019,october,thursday,minor,2,pedestrian,9,5,clear,national highway,wet,dawn,police checkpost,35,61,male,expired,no,19
2020,december,monday,minor,5,two-wheeler,2,4,clear,state highway,under construction,dusk,signs,74,26,male,expired,no,1
2019,january,tuesday,minor,1,truck,6,1,stormy,urban road,wet,daylight,,99,61,male,,no,11
2022,february,sunday,serious,4,truck,3,4,foggy,village road,damaged,dawn,police checkpost,35,44,female,expired,yes,23
2020,september,wednesday,fatal,3,car,8,1,hazy,national highway,under construction,daylight,signs,47,40,male,,yes,23
2020,july,thursday,fatal,3,auto-rickshaw,6,1,foggy,state highway,dry,dark,signs,119,63,male,valid,no,16
2021,february,friday,serious,5,bus,9,2,rainy,state highway,wet,daylight,signs,106,46,female,,no,14
2020,july,tuesday,serious,5,pedestrian,7,5,stormy,national highway,wet,daylight,police checkpost,111,63,female,expired,no,16
2022,august,wednesday,serious,3,auto-rickshaw,7,2,rainy,urban road,damaged,daylight,police checkpost,80,26,male,,no,11
2020,november,wednesday,minor,4,auto-rickshaw,1,0,rainy,state highway,dry,daylight,police checkpost,77,19,male,expired,yes,18
2021,november,tuesday,minor,2,auto-rickshaw,7,3,clear,national highway,dry,dark,,50,43,female,valid,yes,21
2023,april,sunday,serious,1,bus,10,3,rainy,village road,damaged,dusk,signals,79,45,female,expired,no,13
2023,october,tuesday,fatal,4,auto-rickshaw,9,5,stormy,urban road,dry,dark,police checkpost,106,31,male,expired,yes,13
2018,december,friday,fatal,5,two-wheeler,1,4,stormy,village road,under construction,daylight,police checkpost,80,40,female,,no,6
2020,march,friday,serious,3,auto-rickshaw,10,3,hazy,state highway,wet,dawn,signals,48,63,female,,yes,23
2023,january,sunday,minor,4,bus,6,3,rainy,village road,dry,dusk,signals,107,53,male,valid,no,6
2021,september,sunday,serious,5,cycle,0,2,rainy,urban road,wet,dawn,police checkpost,49,36,male,expired,no,3
2020,january,tuesday,minor,5,car,5,2,stormy,village road,under construction,dawn,,114,25,male,expired,yes,22
2020,june,saturday,minor,1,truck,7,3,stormy,urban road,dry,dawn,signals,37,24,female,valid,no,3
2021,april,tuesday,fatal,3,two-wheeler,4,0,clear,state highway,damaged,dawn,signs,60,31,female,,no,5
2023,august,sunday,fatal,5,car,9,0,foggy,urban road,dry,dawn,signals,64,66,female,expired,no,2
2021,january,friday,serious,4,auto-rickshaw,10,3,clear,state highway,damaged,dawn,,60,34,male,,yes,6
2019,february,monday,serious,5,auto-rickshaw,0,0,hazy,national highway,under construction,dusk,signals,40,55,female,valid,yes,3
2018,july,monday,fatal,1,pedestrian,4,0,clear,urban road,dry,dusk,,83,70,female,expired,no,4
2018,june,thursday,fatal,5,auto-rickshaw,5,0,foggy,urban road,damaged,daylight,signals,75,38,female,valid,yes,3
2023,august,thursday,serious,4,truck,9,2,stormy,state highway,damaged,daylight,police checkpost,106,50,male,,no,21
2022,november,friday,fatal,3,car,10,0,hazy,urban road,dry,dusk,signs,34,67,male,valid,no,12
2021,june,saturday,fatal,1,auto-rickshaw,6,2,stormy,urban road,under construction,dusk,,56,37,male,valid,no,5
2020,september,tuesday,fatal,1,cycle,1,3,rainy,state highway,under construction,daylight,signals,94,53,female,expired,yes,18
2022,march,friday,serious,1,cycle,5,5,foggy,state highway,damaged,daylight,signals,49,27,female,valid,no,19
2020,june,wednesday,serious,3,car,3,4,stormy,village road,damaged,daylight,signs,49,32,male,valid,no,4
2019,december,thursday,minor,2,auto-rickshaw,2,2,clear,national highway,damaged,dark,,87,23,male,valid,no,9
2020,january,saturday,serious,4,cycle,5,1,stormy,state highway,wet,dark,police checkpost,106,58,male,valid,no,18
2018,april,sunday,serious,3,pedestrian,2,3,stormy,national highway,under construction,dusk,signs,83,44,female,,no,1
2022,april,friday,fatal,1,bus,8,0,foggy,village road,wet,dusk,signs,56,54,male,expired,no,23
2020,november,wednesday,serious,2,two-wheeler,6,3,foggy,urban road,damaged,dawn,police checkpost,80,18,female,,yes,13
2022,september,monday,serious,2,cycle,4,1,stormy,state highway,dry,dark,signals,102,23,male,expired,no,6
2022,september,friday,fatal,3,car,0,3,clear,village road,under construction,dusk,police checkpost,79,54,male,expired,no,21
2018,march,wednesday,fatal,4,truck,10,2,rainy,urban road,dry,dark,,119,58,male,expired,yes,8
2022,july,sunday,serious,3,bus,9,1,clear,village road,wet,dawn,signals,77,41,female,valid,yes,14
2021,december,friday,minor,2,auto-rickshaw,4,4,rainy,village road,damaged,daylight,signs,120,30,male,,yes,23
2022,february,friday,serious,1,pedestrian,2,4,hazy,village road,damaged,dark,,57,63,female,,no,4
2022,december,friday,minor,5,truck,3,4,stormy,urban road,damaged,dusk,,67,34,female,valid,yes,16
2021,june,wednesday,serious,4,cycle,5,4,foggy,urban road,wet,daylight,signs,116,66,male,valid,no,0
2018,march,monday,serious,1,auto-rickshaw,0,5,foggy,state highway,dry,dawn,police checkpost,100,60,male,valid,yes,2
2023,november,saturday,minor,4,pedestrian,6,3,clear,urban road,damaged,daylight,,82,19,female,valid,yes,21
2019,september,thursday,minor,1,pedestrian,3,5,stormy,village road,wet,dusk,police checkpost,53,36,male,expired,no,17
2023,march,wednesday,fatal,2,truck,10,4,stormy,state highway,under construction,dark,police checkpost,115,51,male,,no,7
2021,april,wednesday,fatal,4,two-wheeler,7,4,clear,national highway,under construction,dawn,,119,56,male,expired,yes,1
2019,november,wednesday,serious,5,pedestrian,10,1,stormy,national highway,dry,dusk,,100,40,female,,yes,2
2021,january,wednesday,minor,2,auto-rickshaw,1,1,foggy,village road,dry,daylight,police checkpost,87,70,male,,no,9
2018,september,saturday,minor,1,pedestrian,10,3,foggy,state highway,damaged,dawn,signs,70,28,male,expired,no,4
2018,july,saturday,serious,2,two-wheeler,5,5,stormy,national highway,under construction,daylight,signals,45,44,female,expired,no,15
2018,august,thursday,fatal,3,bus,2,3,clear,village road,damaged,daylight,signs,107,24,male,,yes,12
2022,september,thursday,fatal,3,truck,8,1,stormy,village road,wet,dusk,signs,105,35,female,expired,yes,4
2023,december,sunday,serious,2,car,3,0,rainy,village road,damaged,dawn,signals,82,67,female,valid,no,20
2019,august,friday,serious,1,car,6,3,clear,urban road,under construction,dusk,signs,57,37,female,expired,no,15
2023,february,saturday,serious,2,two-wheeler,6,4,foggy,village road,dry,dusk,signs,39,43,female,,no,16
2019,february,saturday,fatal,1,auto-rickshaw,4,0,rainy,village road,under construction,dark,signs,37,39,male,valid,yes,10
2018,march,sunday,minor,2,bus,7,0,clear,national highway,wet,dark,,63,57,female,valid,no,11
2021,august,saturday,fatal,2,pedestrian,10,3,hazy,state highway,under construction,dusk,signals,84,40,male,valid,yes,9
2022,june,saturday,serious,4,pedestrian,2,0,foggy,state highway,dry,daylight,signs,119,62,female,expired,no,19
2019,february,tuesday,serious,3,bus,1,2,hazy,national highway,dry,dark,signs,96,59,female,valid,no,19
2021,march,sunday,minor,5,auto-rickshaw,8,0,clear,urban road,damaged,dark,signals,99,63,male,,yes,2
2021,july,sunday,minor,2,auto-rickshaw,2,5,clear,urban road,dry,dawn,police checkpost,108,56,female,expired,yes,2
2018,april,wednesday,serious,3,cycle,3,0,stormy,village road,wet,daylight,signs,61,63,female,expired,yes,6
2023,march,wednesday,serious,1,truck,5,1,clear,urban road,wet,daylight,signs,54,32,female,expired,no,15
2022,october,friday,minor,5,car,5,0,stormy,urban road,dry,dusk,signs,70,57,female,,no,15
2021,june,tuesday,minor,4,two-wheeler,4,3,stormy,national highway,wet,dusk,signals,87,50,female,valid,no,8
2022,december,thursday,minor,5,truck,10,3,foggy,village road,under construction,dawn,signals,58,51,male,valid,yes,1
2020,february,monday,minor,5,car,5,4,rainy,village road,wet,dark,,70,28,female,expired,no,21
2019,september,tuesday,minor,3,truck,7,5,foggy,urban road,dry,dusk,police checkpost,50,32,female,valid,no,17
2020,december,sunday,fatal,5,pedestrian,8,1,hazy,national highway,under construction,dusk,signs,51,55,male,valid,no,8
2018,january,tuesday,minor,2,car,2,3,hazy,state highway,under construction,dark,police checkpost,40,49,female,,yes,4
2019,august,wednesday,serious,2,auto-rickshaw,9,2,foggy,national highway,dry,dusk,police checkpost,32,48,female,,no,1
2021,january,friday,minor,2,auto-rickshaw,4,1,foggy,state highway,dry,daylight,signals,107,51,male,,yes,0
2019,december,friday,minor,4,two-wheeler,5,2,stormy,village road,dry,dawn,,33,30,male,,no,23
2022,october,monday,fatal,3,cycle,0,1,stormy,national highway,damaged,dusk,signals,58,55,male,valid,yes,3
2023,march,saturday,serious,4,auto-rickshaw,6,0,hazy,national highway,under construction,dusk,police checkpost,56,38,female,expired,yes,8
2018,november,wednesday,minor,1,truck,8,3,stormy,urban road,damaged,daylight,,116,37,male,expired,no,4
2020,august,friday,fatal,1,pedestrian,0,4,stormy,village road,damaged,dark,signs,64,37,female,,no,23
2018,july,monday,minor,5,pedestrian,1,1,rainy,state highway,damaged,dark,signals,51,48,male,,yes,23
2020,march,tuesday,fatal,4,truck,6,4,rainy,village road,damaged,daylight,signs,48,44,female,,no,2
2019,july,saturday,fatal,1,car,5,1,stormy,national highway,wet,dark,police checkpost,71,59,female,expired,no,11
2022,december,friday,serious,5,pedestrian,10,2,hazy,national highway,wet,dawn,,43,19,female,,no,11
2018,april,thursday,fatal,2,pedestrian,9,2,rainy,national highway,wet,dark,signs,79,35,female,valid,no,23
2022,july,wednesday,fatal,4,bus,6,0,hazy,state highway,wet,dawn,police checkpost,37,23,male,valid,no,22
2022,november,sunday,serious,4,pedestrian,1,2,clear,village road,under construction,dusk,police checkpost,115,64,female,expired,yes,0
2023,december,saturday,minor,4,pedestrian,2,1,foggy,urban road,damaged,daylight,police checkpost,69,70,female,expired,no,15
2023,january,tuesday,minor,1,auto-rickshaw,2,1,foggy,urban road,dry,dusk,signs,104,50,male,,no,12
2019,february,friday,fatal,4,auto-rickshaw,7,1,rainy,national highway,damaged,daylight,police checkpost,104,35,male,expired,yes,8
2020,december,wednesday,serious,5,truck,2,0,foggy,village road,wet,dusk,police checkpost,33,48,male,valid,yes,21
2022,november,friday,serious,3,two-wheeler,7,3,hazy,state highway,under construction,dusk,police checkpost,107,27,female,expired,yes,19
2021,april,wednesday,minor,2,pedestrian,6,2,hazy,state highway,under construction,dawn,signs,88,23,female,valid,yes,2
2019,october,wednesday,minor,1,pedestrian,9,3,hazy,village road,wet,dusk,signals,65,47,female,valid,yes,6
2018,april,friday,minor,2,car,6,2,rainy,national highway,dry,dusk,police checkpost,30,33,male,expired,no,1
2018,june,friday,minor,5,car,3,5,stormy,village road,damaged,dawn,signs,105,56,male,expired,no,20
2021,april,thursday,fatal,1,two-wheeler,5,0,clear,urban road,dry,daylight,signs,85,49,male,valid,yes,4
2023,february,saturday,serious,1,pedestrian,5,4,clear,urban road,damaged,dark,signals,59,39,male,expired,no,15
2020,may,monday,serious,3,bus,0,5,hazy,state highway,dry,dusk,police checkpost,50,38,female,valid,yes,7
2021,december,tuesday,minor,4,cycle,8,5,clear,national highway,wet,dusk,signs,65,26,female,,yes,3
2023,december,saturday,fatal,2,pedestrian,4,5,rainy,village road,under construction,dawn,signs,54,23,female,,no,20
2018,march,friday,serious,4,two-wheeler,9,1,stormy,village road,dry,dusk,signals,111,52,female,expired,yes,13
2023,july,tuesday,fatal,1,auto-rickshaw,2,0,hazy,village road,dry,dusk,signals,118,45,female,,no,21
2019,april,sunday,minor,3,cycle,10,1,rainy,urban road,dry,dawn,,38,42,male,,no,5
2022,april,friday,serious,2,truck,6,5,rainy,urban road,damaged,dawn,police checkpost,39,45,female,,no,10
2020,october,wednesday,serious,5,truck,10,0,stormy,village road,wet,dusk,signals,35,21,male,valid,no,6
2022,april,tuesday,minor,2,car,7,0,rainy,village road,wet,dusk,signs,54,56,male,,yes,12
2023,april,saturday,fatal,2,pedestrian,7,3,clear,state highway,dry,dusk,signs,44,20,male,valid,no,2
2020,october,saturday,fatal,2,truck,6,5,stormy,urban road,wet,dawn,,110,35,male,valid,no,22
2022,may,thursday,fatal,1,pedestrian,5,2,stormy,national highway,wet,daylight,signals,65,30,female,valid,yes,19
2020,february,thursday,serious,5,truck,4,4,stormy,village road,dry,dusk,police checkpost,95,40,male,valid,yes,19
2020,april,monday,serious,3,car,5,0,stormy,state highway,dry,daylight,,86,42,male,,no,12
2021,october,wednesday,serious,1,truck,0,5,stormy,state highway,dry,dusk,signs,82,69,male,,no,18
2022,february,saturday,serious,2,two-wheeler,6,4,clear,urban road,dry,dawn,police checkpost,71,52,male,valid,yes,12
2022,february,tuesday,fatal,4,two-wheeler,7,2,foggy,national highway,damaged,dawn,police checkpost,48,22,male,,no,21
2019,december,wednesday,minor,5,truck,3,1,hazy,urban road,wet,dark,signs,42,42,female,valid,yes,10
2021,june,wednesday,serious,3,bus,3,1,rainy,urban road,under construction,dusk,signs,102,40,female,,no,15
2022,february,tuesday,minor,2,bus,2,1,clear,national highway,under construction,dusk,signs,73,42,female,,yes,19
2021,november,thursday,minor,1,bus,4,4,clear,national highway,damaged,dusk,signs,98,35,female,,yes,17
2019,march,saturday,serious,4,bus,5,2,stormy,urban road,damaged,daylight,,76,20,female,,no,19
2021,june,tuesday,serious,3,cycle,2,0,clear,national highway,under construction,dark,signals,83,32,female,valid,no,15
2018,october,sunday,minor,5,two-wheeler,1,5,rainy,national highway,dry,dawn,signs,76,47,female,valid,yes,19
2023,july,tuesday,minor,1,cycle,2,0,rainy,urban road,under construction,daylight,,103,30,female,expired,no,1
2022,april,sunday,fatal,5,cycle,4,2,clear,village road,wet,daylight,signals,87,23,male,valid,yes,8
2020,november,sunday,minor,5,truck,5,1,rainy,state highway,damaged,dark,,36,30,female,expired,no,7
2023,october,wednesday,serious,2,bus,4,3,rainy,national highway,damaged,daylight,,47,66,female,valid,no,1
2021,february,monday,minor,5,truck,5,4,stormy,village road,dry,dark,signs,113,57,male,valid,yes,20
2022,march,friday,minor,3,two-wheeler,0,0,foggy,national highway,wet,daylight,signs,64,37,female,,no,20
2020,september,thursday,fatal,2,pedestrian,3,3,foggy,village road,wet,dark,signals,113,69,male,valid,no,10
2018,january,saturday,serious,1,two-wheeler,0,2,rainy,state highway,wet,daylight,signals,37,28,male,expired,yes,19
2019,february,wednesday,fatal,4,car,3,1,hazy,state highway,wet,dusk,signs,80,68,male,,yes,8
2018,june,friday,serious,2,pedestrian,8,5,rainy,state highway,wet,dawn,police checkpost,30,23,male,,yes,6
2023,august,monday,fatal,2,cycle,10,1,foggy,state highway,dry,daylight,,94,63,female,valid,yes,23
2022,july,saturday,serious,3,car,10,3,foggy,village road,dry,dark,signs,101,67,male,,no,9
2018,september,tuesday,minor,3,truck,2,4,stormy,national highway,dry,dusk,police checkpost,71,39,female,expired,no,23
2019,november,wednesday,minor,4,bus,0,1,stormy,state highway,dry,dark,,92,64,male,valid,yes,21
2020,december,thursday,minor,5,bus,1,2,clear,urban road,wet,dusk,,97,55,female,valid,no,3
2019,july,thursday,serious,4,pedestrian,2,5,foggy,urban road,damaged,dusk,signs,48,18,female,expired,yes,22
2019,october,wednesday,fatal,3,auto-rickshaw,5,2,stormy,state highway,dry,dark,signals,112,27,female,expired,no,0
2023,july,tuesday,fatal,5,truck,10,0,clear,national highway,wet,dusk,police checkpost,34,59,male,expired,no,13
2022,may,thursday,fatal,5,two-wheeler,5,0,hazy,national highway,damaged,dark,,90,52,female,valid,yes,23
2018,may,thursday,fatal,2,car,8,3,clear,national highway,dry,dusk,,115,28,female,valid,yes,19
2023,march,monday,fatal,2,bus,5,4,stormy,national highway,wet,dusk,,101,31,female,valid,yes,16
2018,may,saturday,serious,5,truck,2,2,foggy,state highway,dry,daylight,,85,52,female,valid,no,10
2019,september,saturday,fatal,3,pedestrian,8,2,foggy,urban road,wet,dusk,signs,49,64,male,valid,yes,19
2019,september,tuesday,fatal,3,two-wheeler,3,3,rainy,urban road,dry,dawn,,94,54,female,,yes,6
2019,september,saturday,minor,3,pedestrian,7,3,clear,village road,dry,dawn,signals,48,45,male,valid,no,5
2020,may,friday,serious,2,truck,7,1,hazy,urban road,wet,dark,police checkpost,111,44,male,,yes,18
2023,october,friday,fatal,2,pedestrian,10,4,clear,village road,damaged,dusk,signals,113,23,female,valid,no,7
2018,july,thursday,fatal,4,auto-rickshaw,5,4,foggy,urban road,under construction,daylight,signs,93,30,male,,no,2
2019,august,wednesday,fatal,1,two-wheeler,6,5,stormy,village road,wet,dawn,signs,78,54,female,,yes,18
2018,february,monday,serious,3,two-wheeler,5,1,clear,state highway,dry,daylight,police checkpost,87,23,male,expired,yes,10
2018,august,friday,serious,5,auto-rickshaw,7,0,foggy,urban road,dry,daylight,police checkpost,70,52,female,,yes,18
2023,september,tuesday,fatal,5,truck,9,3,clear,village road,under construction,dawn,,90,69,female,valid,yes,12
2023,november,wednesday,serious,3,bus,5,1,clear,national highway,damaged,dark,signals,111,37,female,valid,no,3
2023,december,tuesday,serious,5,auto-rickshaw,7,3,clear,village road,dry,dark,signs,58,62,male,valid,no,10
2019,september,wednesday,minor,4,pedestrian,1,3,rainy,urban road,wet,daylight,,109,66,male,valid,yes,18
2023,january,sunday,minor,4,bus,9,4,stormy,village road,dry,daylight,signals,70,66,male,valid,no,17
2020,july,monday,serious,4,truck,7,0,stormy,village road,under construction,dusk,signs,111,62,male,,no,23
2021,june,thursday,serious,3,pedestrian,0,5,hazy,state highway,wet,dawn,signs,89,51,female,expired,yes,23
2021,november,saturday,serious,3,car,4,2,stormy,village road,wet,dark,police checkpost,61,21,female,,no,12
2022,september,thursday,minor,3,two-wheeler,8,3,rainy,state highway,damaged,dawn,signals,114,29,female,expired,yes,20
2022,july,friday,minor,3,car,7,1,stormy,urban road,dry,daylight,police checkpost,42,24,female,valid,no,8
2018,september,saturday,minor,1,auto-rickshaw,10,4,stormy,state highway,dry,dawn,signs,43,45,female,valid,no,20
2021,september,saturday,fatal,2,pedestrian,1,3,clear,urban road,dry,dusk,police checkpost,107,53,female,valid,yes,21
2022,december,monday,fatal,2,truck,0,5,foggy,village road,dry,dusk,signs,66,68,female,valid,no,10
2023,october,thursday,fatal,1,truck,2,1,hazy,state highway,damaged,dark,signs,69,28,male,valid,no,14
2022,march,monday,serious,2,car,5,4,stormy,state highway,under construction,dawn,signs,46,44,male,valid,yes,10
2021,july,saturday,fatal,4,bus,2,0,hazy,urban road,under construction,dark,,104,59,male,expired,yes,0
2018,november,sunday,serious,2,two-wheeler,9,2,foggy,village road,dry,dawn,,107,58,male,expired,yes,18
2020,april,friday,serious,4,auto-rickshaw,2,5,hazy,state highway,wet,daylight,signs,109,66,male,valid,yes,0
2023,november,friday,minor,4,auto-rickshaw,9,0,foggy,state highway,dry,dawn,signals,48,55,male,expired,yes,5
2023,february,friday,minor,4,car,5,0,hazy,state highway,wet,daylight,signals,68,52,male,valid,yes,12
2022,november,thursday,fatal,1,bus,7,0,clear,urban road,dry,dark,signs,87,30,male,valid,yes,12
2018,october,wednesday,serious,4,bus,6,3,rainy,village road,under construction,dusk,signals,117,58,male,,yes,3
2022,may,saturday,fatal,3,car,8,4,clear,state highway,dry,dark,signs,109,37,male,expired,no,13
2022,july,friday,minor,5,truck,9,3,stormy,national highway,damaged,dusk,,59,23,female,valid,yes,7
2020,april,tuesday,serious,1,truck,8,2,rainy,national highway,wet,daylight,,90,55,female,,no,3
2019,june,sunday,fatal,1,two-wheeler,9,0,rainy,village road,dry,dawn,,70,56,male,valid,no,21
2019,february,tuesday,fatal,2,bus,9,3,stormy,state highway,dry,dusk,signs,120,21,female,,no,7
2023,december,monday,fatal,1,bus,7,5,foggy,village road,damaged,dawn,signals,59,61,male,valid,yes,15
2019,june,saturday,minor,3,pedestrian,8,1,foggy,village road,dry,dawn,signals,63,65,female,,no,12
2023,january,saturday,minor,4,car,7,2,hazy,national highway,under construction,dark,police checkpost,34,36,female,,no,19
2020,june,saturday,minor,1,auto-rickshaw,4,0,foggy,urban road,damaged,daylight,signals,119,44,male,expired,yes,14
2019,july,friday,fatal,5,auto-rickshaw,8,1,clear,state highway,wet,dusk,signals,104,56,male,,no,7
2020,february,wednesday,minor,1,cycle,0,5,foggy,urban road,under construction,dusk,,46,21,female,valid,no,9
2020,december,saturday,minor,1,pedestrian,9,1,clear,state highway,under construction,dawn,signs,38,67,female,valid,yes,15
2020,january,monday,minor,3,truck,10,2,stormy,village road,under construction,dawn,police checkpost,90,56,male,expired,yes,21
2020,january,friday,minor,3,two-wheeler,9,5,clear,national highway,under construction,daylight,,62,23,female,,yes,4
2020,november,saturday,serious,2,cycle,1,5,clear,urban road,dry,daylight,,100,22,male,valid,yes,23
2020,march,saturday,fatal,2,car,5,1,clear,urban road,wet,dawn,signs,117,34,female,valid,yes,20
2019,august,monday,serious,3,auto-rickshaw,8,0,stormy,urban road,wet,dark,signs,112,21,female,valid,yes,4
2020,september,friday,serious,5,truck,10,5,hazy,national highway,wet,dawn,signals,72,19,female,,no,17
2019,march,wednesday,serious,5,auto-rickshaw,4,3,hazy,state highway,wet,dawn,police checkpost,110,61,female,,yes,9
2018,march,thursday,serious,3,pedestrian,10,3,rainy,state highway,damaged,dark,signs,96,41,male,expired,yes,22
2021,december,wednesday,serious,4,two-wheeler,9,5,foggy,national highway,wet,dawn,signs,109,48,female,,yes,3
2022,june,wednesday,serious,4,car,3,3,foggy,urban road,damaged,dusk,signs,77,69,female,,no,6
2023,august,monday,serious,1,two-wheeler,5,3,hazy,village road,under construction,dawn,police checkpost,64,22,female,,no,6
2021,june,friday,serious,4,truck,5,2,hazy,village road,under construction,dusk,signs,106,23,female,,yes,8
2018,november,saturday,fatal,2,truck,1,5,foggy,state highway,wet,dark,police checkpost,50,65,male,valid,yes,1
2022,august,wednesday,serious,2,truck,1,5,rainy,village road,under construction,dark,police checkpost,55,37,male,,no,14
2020,august,monday,serious,3,auto-rickshaw,10,2,hazy,national highway,dry,daylight,signals,30,35,male,,yes,10
2019,july,monday,serious,5,bus,2,3,foggy,state highway,under construction,dusk,signals,101,55,female,,yes,6
2019,december,tuesday,minor,5,bus,1,2,clear,national highway,damaged,dawn,police checkpost,43,43,female,expired,no,6
2021,september,friday,serious,5,truck,4,3,foggy,urban road,wet,dawn,signals,34,53,male,expired,no,5
2019,august,saturday,fatal,2,auto-rickshaw,4,0,hazy,village road,damaged,daylight,signals,53,28,female,valid,no,5
2019,november,saturday,minor,2,two-wheeler,9,3,rainy,national highway,damaged,dusk,police checkpost,69,29,male,valid,no,20
2023,july,friday,fatal,4,two-wheeler,3,1,clear,state highway,damaged,dark,signals,105,46,female,,no,15
2021,january,tuesday,minor,4,bus,2,3,stormy,state highway,under construction,dusk,signs,98,58,male,valid,no,15
2019,november,friday,minor,5,bus,8,2,stormy,national highway,under construction,dusk,signs,64,41,male,valid,yes,4
2020,august,saturday,fatal,3,car,9,2,stormy,national highway,wet,dark,signals,116,60,male,valid,no,1
2022,october,saturday,minor,1,pedestrian,3,0,hazy,state highway,dry,dawn,signals,77,70,female,valid,yes,3
2020,october,saturday,minor,4,pedestrian,7,0,stormy,urban road,under construction,dawn,police checkpost,45,38,male,valid,no,23
2019,january,saturday,serious,3,auto-rickshaw,2,5,foggy,state highway,under construction,dawn,,72,60,female,expired,no,11
2021,september,tuesday,minor,3,two-wheeler,6,5,hazy,national highway,damaged,dusk,police checkpost,30,23,male,valid,no,23
2019,december,sunday,serious,1,bus,6,0,clear,state highway,under construction,dark,signs,75,57,female,valid,yes,9
2020,february,sunday,minor,4,pedestrian,0,2,stormy,village road,dry,daylight,,111,40,female,valid,yes,17
2021,july,saturday,serious,5,pedestrian,1,2,foggy,urban road,under construction,dusk,police checkpost,103,21,female,,no,6
2019,december,saturday,minor,4,car,7,1,stormy,state highway,wet,dark,signs,100,23,female,,no,7
2020,may,monday,serious,1,car,8,4,foggy,village road,dry,daylight,signals,36,18,female,expired,yes,2
2023,august,sunday,minor,1,two-wheeler,2,3,clear,village road,damaged,dark,police checkpost,44,59,female,valid,no,1
2022,april,sunday,minor,3,truck,6,5,clear,state highway,dry,dark,signs,42,39,female,expired,no,19
2020,september,tuesday,fatal,2,cycle,9,5,clear,urban road,wet,dawn,,54,56,male,,no,4
2021,november,saturday,minor,2,two-wheeler,3,5,stormy,national highway,dry,dawn,signals,103,70,female,expired,no,3
2019,december,thursday,serious,1,pedestrian,0,3,clear,state highway,under construction,daylight,signs,92,53,female,valid,yes,12
2023,march,wednesday,fatal,4,car,3,1,hazy,state highway,under construction,dark,police checkpost,41,46,female,expired,yes,11
2023,july,tuesday,minor,3,two-wheeler,1,5,rainy,village road,wet,daylight,,62,33,female,,no,22
2021,may,friday,minor,4,truck,4,3,foggy,urban road,damaged,dawn,signs,32,24,female,expired,no,18
2019,may,saturday,minor,3,bus,2,1,foggy,village road,damaged,dusk,signs,36,49,female,valid,no,1
2023,november,monday,serious,1,bus,2,5,hazy,village road,damaged,dawn,signals,113,69,female,,yes,4
